graph_type,node,degree,in_degree,out_degree,betweenness,eigenvector,community
hashtags,hashtag:agendaespaña,29.0,,,0.0,0.008643739604943006,1
hashtags,hashtag:agendaonline,6.0,,,0.0,0.000908007273399044,6
hashtags,hashtag:aggressive,3.0,,,0.0,0.0011585192454271283,1
hashtags,hashtag:agradeceadios,4.0,,,0.0,0.0012661674830273496,0
hashtags,hashtag:agresi,3.0,,,0.0,0.001086264614498205,3
hashtags,hashtag:agresionsexual,16.0,,,0.0,0.0022279635750243497,4
hashtags,hashtag:agroecolog,8.0,,,0.0,0.004672105553110154,3
hashtags,hashtag:agua,12.0,,,0.0,0.002370476573597174,3
hashtags,hashtag:aguedaacosta_oficial,4.0,,,0.0,0.0015676338420763946,0
hashtags,hashtag:ahorram,27.0,,,0.0,0.001773875977352313,6
hashtags,hashtag:ai,6.0,,,0.0011631694902655002,0.0023233699561565476,8
hashtags,hashtag:aiads,3.0,,,0.0,6.698819627367348e-05,8
hashtags,hashtag:aiart,18.0,,,0.00014036043957372875,0.005155473802281092,5
hashtags,hashtag:aiedit,9.0,,,0.0,0.001617500033262051,5
hashtags,hashtag:aiexgf,4.0,,,0.0,0.002430470879397691,5
hashtags,hashtag:aigirl,4.0,,,0.0,0.002430470879397691,5
hashtags,hashtag:aiphotography,9.0,,,0.0,0.001617500033262051,5
hashtags,hashtag:aislamientosocial,7.0,,,0.0,0.005446919642970583,2
hashtags,hashtag:ajuda,11.0,,,0.0,0.001485626643091797,3
hashtags,hashtag:al3xflores,4.0,,,0.0,0.0006049749521676937,1
hashtags,hashtag:alanalial,4.0,,,0.0,0.0011052152051098066,3
hashtags,hashtag:albacete,11.0,,,0.0,0.0007361528632317574,4
hashtags,hashtag:albertacanada,4.0,,,0.0,0.0023888512544513857,59
hashtags,hashtag:albertod,4.0,,,0.0,0.0033881493048383126,0
hashtags,hashtag:albertodavila,4.0,,,0.0,0.0033881493048383126,0
hashtags,hashtag:alcaldiaduitama,19.0,,,0.0,0.001693421732041801,4
hashtags,hashtag:alfa,46.0,,,0.0035631008708407064,0.027955709189269685,1
hashtags,hashtag:alfaenunarelacion,17.0,,,0.0,0.0011604940604247997,25
hashtags,hashtag:alfaixz,4.0,,,0.0,0.0014242716507348956,5
hashtags,hashtag:alfamenspower,4.0,,,0.0,0.0006791368325276917,6
hashtags,hashtag:alfamentoring,9.0,,,0.0,0.007879564339259968,0
hashtags,hashtag:alfamindset,22.0,,,0.0003822443689764685,0.0023047464470064604,2
hashtags,hashtag:alfareal,19.0,,,0.0,0.002274614306889274,0
hashtags,hashtag:alfas,34.0,,,0.00010860957390234034,0.015262217547229815,0
hashtags,hashtag:alfasacademy,19.0,,,1.1574679266745172e-05,0.010609944401803224,0
hashtags,hashtag:alfaseductor,81.0,,,0.0026420289996668092,0.015045674174942297,0
hashtags,hashtag:alfasenproceso,60.0,,,0.001493508286255466,0.020698985179846054,0
hashtags,hashtag:alfasmf,4.0,,,0.0,0.00332013150625032,6
hashtags,hashtag:alfatips,11.0,,,4.5599986334740055e-06,0.0018542536708551663,0
hashtags,hashtag:aliade,4.0,,,0.0,0.0017590984631538171,1
hashtags,hashtag:aliadosfeministas,14.0,,,0.0,0.018307875410866627,1
hashtags,hashtag:alienacaoparental,14.0,,,0.0,0.00205797905363505,4
hashtags,hashtag:alienaci,21.0,,,0.00016479559615317017,0.013009263682412796,1
