cluster_id,narrative_label,discourse_category_id,discourse_category_label,n_comments,top_terms,representative_comments,top_profiles,sentiment_positive_pct,sentiment_negative_pct,sentiment_neutral_pct,mean_polarity,polarization_index
10,narrativa_10,,,25,ninos; wanda; hijos; china; pobre; icardi; increible; encanta ninos; asi; penas; encanta; saben,"1+1 es 2 !! Wanda+ Abogaducho= no les importan los niños, si Wanda lo  hace con sus hijos que le puede importar los hijos del Resto? || 😂😂😂te lo dicen las SEXISTAS feministas ke odian los hombres y niños (tus hijos)😂😂 || Pobre chica y pobres los niños.",; elintransigente; elespectador,24.0,24.0,52.0,0.004,0.48
11,narrativa_11,,,13,deja; decir; colombia; ley; mujeres; violan; derecho; favor; empiecen; mujer; judicial; luz,"Eso deja mucho que decir de las sociedades, en Colombia hay ley de garantías... || deja tú mujeres, seguramente hasta infantes y animales... || Bueno es simple ni yo filmo y me dejaría filmar al que se deja le cabe hay gente de mierda de los dos bandos hay chicas que también extorsionan  pero pocas veces salen a la luz!!!",; elespectador; telefecordoba; tu949fm,15.4,15.4,69.2,-0.02,0.308
12,narrativa_12,,,53,mujer; hombres; tal; redes; fotos; asi; parece; comentarios; respeto; videos; pareja; cantidad,"Y por qué una mujer se habré only fans o se sexualiza en redes ? También por controlar y someter a los hombres? || Mmm en esta no banco, cada relación tiene sus reglas, no quieran venir a decir esto está mal o bien, o no te respeta por tal cosa. A mí me puede no molestar además, las mujeres también tienen en sus r || @igualdadgob cada mujer ASESINADADA es una alarma ignorada 🚨",; telefecordoba; enriquesantosshow; eldocetv; elespectador,22.6,26.4,50.9,-0.063,0.491
13,narrativa_13,,,19,tiempo; cosas; dar; sabemos; amor; respeto; cuenta; deberia; pareja; logramos; deje; faltan,"Qué bonito leerlas, las que crecimos en el pueblo sabemos que estas cosas con como bien pinches inalcansables. Y lo logramos amigas. Gracias por no soltarme y tomarse el tiempo de escribirme, comprend || Hay cosas que me voy a morir sin entender en la vida,como una prostituta inmoral quiere dar ejemplo para la sociedad y para los jóvenes,no tiene ni un valor👌 hace tiempo que ya las perdió || Y es poco !!! Debería ser más tiempo. Pres! la pareja también",; eldocetv; enriquesantosshow; elespectador,26.3,31.6,42.1,-0.038,0.579
14,narrativa_14,,,21,justicia; excelente; mierda; mierda justicia; haga justicia; haga; gran; libre; trabajo; sufrimiento; favor; menor,"Justicia lenta no es justicia, es TORTURA. || Excelente 👏👏👏👏 justicia para todas las afectadas 🙌 || Ojalá se haga justicia por Gabriela",; eldocetv; el_resaltador,76.2,4.8,19.0,0.707,0.81
15,narrativa_15,,,10,orgullo; pena; olimpia; paises; horrible; tengan; cuide; comunidad; comun; quiero; sii; exito,"Del west, orgullo de Peña Blanca 👏👏👏👏 || 👏👏👏 ¡Gracias Olimpia por lo que haces por todas! 💜💜💜 ¡Orgullo mexicano! 🇲🇽 || Éxito como siempre,Olimpia sin duda que orgullo sentimos por ti💜💜💜",; eldocetv,70.0,20.0,10.0,0.362,0.9
16,narrativa_16,,,118,debe; sigan; responsable; hacen; mientras; hijo; nadie; ocurre; seguimos; anos; proteccion; matando,"PACIENCIA??? PACIENCIA para quien ?  Por supuesto para la víctima,  por qué mientras tú tienes toda la paciencia que te piden, el agresor no tiene ningún escrúpulo en seguir maltratandote psicológicam || Si no hay medidas de protección urgentes, el sistema es responsable de lo que pase. || Asesinada delante de su hijo de 14 años, otro chaval huérfano. Esto es horroroso",; enriquesantosshow; tu949fm; elchorrillerosl; eldialp,28.0,16.1,55.9,0.127,0.441
17,narrativa_17,,,14,verdad; voy; gente; creen; horror; visto; opinar; diciendo; ven; encanta; opinion; existe,"no voy a opinar por qué acabo de salir de la iglesia, esta gente que se creen dueños de la verdad || La verdad lo más ridículo que he visto.... || Será verdad esto???? Que horror x dios... no será pedofilo????????",; tu949fm; ajplusespanol; eldocetv,42.9,7.1,50.0,0.305,0.5
18,narrativa_18,,,18,tipo; compartir; verguenza; visibilizar; cosas; ferni; tantas cosas; tantas; tipo cosas; muestren; importante; favor,"Cansada de este tipo de situaciones que tanto se repiten! Que el control, la vergüenza y tantas otras cosas más pasen al bando correcto por favor! Gracias por siempre visibilizar y compartir Ferni ❤️ || Es importante que en los colegios se enseñe este tipo de cosas, si bien la tecnología es nuestra aliada y nos ayuda en muchas cosas del dia a dia, el no saberla utilizar puede ser peligroso. || Necesitamos saber este tipo de cosas también. Me alegra leerlo.",; sandro_sensei; eldestapeweb; eldocetv,44.4,22.2,33.3,0.175,0.667
19,narrativa_19,,,4,funciona; patriarcado; falla; pienso; digo; disenado; posicion; sientan; solos; dentro; encubren; explota,"El patriarcado no falla, funciona exactamente como está diseñado || A mí me funciona la ironía. Digo lo que pienso y el que la agarra... || 1er lugar del certamen ""Chistes que se cuentan solos"" 🏆. Lo preocupante es que se sientan tan felices en su posición tan subalterna dentro del patriarcado.",,25.0,0.0,75.0,0.25,0.25
