source,target,edge_type,weight
user:sebzx_zg49,narrative:narrativa_16,user_narrative,1.0
user:vgcosmeticapersonal,narrative:narrativa_16,user_narrative,1.0
user:franco_silvero_007,narrative:narrativa_16,user_narrative,1.0
user:solange.verasoto.5,narrative:narrativa_16,user_narrative,1.0
user:jose_ugarte323,narrative:narrativa_16,user_narrative,1.0
user:daaaniiita,narrative:narrativa_16,user_narrative,1.0
user:mmerce_2020,narrative:narrativa_16,user_narrative,1.0
user:d.tidesong_author,narrative:narrativa_16,user_narrative,1.0
user:vimanolhumbertovgarcia1978,narrative:narrativa_16,user_narrative,1.0
user:susanabeatrizbellomo,narrative:narrativa_16,user_narrative,1.0
user:mariamercedespalin,narrative:narrativa_16,user_narrative,1.0
user:brognosilvialopez,narrative:narrativa_16,user_narrative,1.0
user:karlacastillo1405,narrative:narrativa_16,user_narrative,1.0
user:delvalledelacordialidad,narrative:narrativa_16,user_narrative,1.0
user:lucho_arg01,narrative:narrativa_16,user_narrative,1.0
user:marcelord_sith,narrative:narrativa_16,user_narrative,1.0
user:naty.arb,narrative:narrativa_16,user_narrative,1.0
user:valewiersba,narrative:narrativa_16,user_narrative,1.0
user:bitacora.urbana_,narrative:narrativa_16,user_narrative,1.0
user:fatimasa174,narrative:narrativa_16,user_narrative,1.0
user:flores.matheo_21,narrative:narrativa_16,user_narrative,1.0
user:omargarciac77,narrative:narrativa_16,user_narrative,1.0
user:liliana.lilo.88,narrative:narrativa_16,user_narrative,1.0
user:luis.fe6,narrative:narrativa_16,user_narrative,1.0
user:kthbch1918,narrative:narrativa_16,user_narrative,1.0
user:inlove15.8,narrative:narrativa_16,user_narrative,1.0
user:andrihepburn,narrative:narrativa_16,user_narrative,1.0
user:unahistoriacontunovio,narrative:narrativa_16,user_narrative,1.0
user:flornutri2022,narrative:narrativa_16,user_narrative,1.0
user:joevillartevisual,narrative:narrativa_16,user_narrative,1.0
user:jennbenalcazar,narrative:narrativa_16,user_narrative,1.0
user:cristianmaximilianosegovia,narrative:narrativa_16,user_narrative,1.0
user:paola.feminalista,narrative:narrativa_16,user_narrative,1.0
user:carmi.pi,narrative:narrativa_16,user_narrative,1.0
user:epica_fundacion,narrative:narrativa_16,user_narrative,1.0
user:locasdelmundo4,narrative:narrativa_16,user_narrative,1.0
user:ariencilla,narrative:narrativa_16,user_narrative,1.0
user:aniibook,narrative:narrativa_16,user_narrative,1.0
user:psicomap,narrative:narrativa_16,user_narrative,1.0
user:nay_ps10,narrative:narrativa_16,user_narrative,1.0
user:nadiaoff29,narrative:narrativa_16,user_narrative,1.0
user:paolalapi,narrative:narrativa_16,user_narrative,1.0
user:aneyandy29,narrative:narrativa_16,user_narrative,1.0
user:mirian.alexafulda,narrative:narrativa_16,user_narrative,1.0
user:mardeamor84,narrative:narrativa_16,user_narrative,1.0
user:ziaraponce,narrative:narrativa_16,user_narrative,1.0
user:eve.ltii,narrative:narrativa_16,user_narrative,1.0
user:bettyadriazola,narrative:narrativa_16,user_narrative,1.0
user:yeikel_toirac05,narrative:narrativa_16,user_narrative,1.0
user:abrilbeecker7,narrative:narrativa_16,user_narrative,1.0
user:kaygonza16,narrative:narrativa_16,user_narrative,1.0
user:rulosmoni,narrative:narrativa_16,user_narrative,1.0
user:centroenperspectiva,narrative:narrativa_16,user_narrative,1.0
