graph_type,node,degree,in_degree,out_degree,betweenness,eigenvector,community
hashtags,hashtag:adolescentes,62.0,,,0.0018874290302316648,0.05036470811123817,0
hashtags,hashtag:adolesence,10.0,,,0.0,0.004248237814184397,2
hashtags,hashtag:adolesencia,10.0,,,0.0,0.004248237814184397,2
hashtags,hashtag:adoscentesenpeligro,9.0,,,0.0,0.0069794289459885065,0
hashtags,hashtag:advan,4.0,,,0.0,9.214830041456316e-06,4
hashtags,hashtag:advise,18.0,,,0.0,0.0018744721317462839,4
hashtags,hashtag:advocacia,16.0,,,3.8959673069978744e-05,0.008440233990909032,2
hashtags,hashtag:aflcio,9.0,,,0.0,1.0049915192149825e-05,4
hashtags,hashtag:afrogoth,4.0,,,0.0,9.19162452996186e-06,4
hashtags,hashtag:afterwork,17.0,,,0.0,1.1825245138941118e-05,4
hashtags,hashtag:agenda2030,4.0,,,0.0,0.00045506541973205293,2
hashtags,hashtag:agi,18.0,,,0.0,0.0018744721317462839,4
hashtags,hashtag:agostinavega,9.0,,,0.0,0.005497215676570687,0
hashtags,hashtag:agraviado,12.0,,,0.0,0.0027047285367122844,3
hashtags,hashtag:agresor,27.0,,,0.0,0.02424007140822931,1
hashtags,hashtag:agustinlaje,8.0,,,0.0,0.001534449397645525,2
hashtags,hashtag:ahogamientosmortales,4.0,,,0.0,0.0016353718033477608,7
hashtags,hashtag:ai,58.0,,,0.01645399148976386,0.0034546059184863798,4
hashtags,hashtag:aiads,3.0,,,0.0,6.608278107111793e-05,4
hashtags,hashtag:aiart,29.0,,,0.0,0.002821121760369895,6
hashtags,hashtag:aiartcommunity,29.0,,,0.0,0.002821121760369895,6
hashtags,hashtag:aiartwork,29.0,,,0.0,0.002821121760369895,6
hashtags,hashtag:aieti,6.0,,,0.0,0.00907083533905076,0
hashtags,hashtag:aigenerated,40.0,,,8.435594612029054e-05,0.003109356877706605,6
hashtags,hashtag:aihunks,11.0,,,0.0,0.001227955900911416,20
hashtags,hashtag:aiimagedetector,8.0,,,0.0,0.001302342204254991,4
hashtags,hashtag:aimodel,29.0,,,0.0,0.002821121760369895,6
hashtags,hashtag:aiportrait,29.0,,,0.0,0.002821121760369895,6
hashtags,hashtag:airegulation,5.0,,,0.0,0.001099590700540582,37
hashtags,hashtag:ajplusesp_video,29.0,,,0.0,0.036826469570496796,1
hashtags,hashtag:alastor,9.0,,,0.0,1.0774552655793525e-15,22
hashtags,hashtag:albacete,7.0,,,0.0,0.004869366103198531,3
hashtags,hashtag:alcal,3.0,,,0.0,0.0038372970045355576,1
hashtags,hashtag:alcald,3.0,,,0.0,0.005353850980473057,0
hashtags,hashtag:alerta,27.0,,,0.0,0.02424007140822931,1
hashtags,hashtag:alertafeminista,16.0,,,2.3507744410276534e-05,0.008486605275664699,8
hashtags,hashtag:alertasasn,4.0,,,0.0,0.001829613833258419,45
hashtags,hashtag:alertasdigitales,15.0,,,0.0,0.00958831457435093,0
hashtags,hashtag:alertasonora,10.0,,,0.0,0.0020391111674255033,21
hashtags,hashtag:alertavioleta,8.0,,,0.0,0.005653773722491462,0
hashtags,hashtag:alfabetizaci,18.0,,,0.0,0.012885818092058314,0
hashtags,hashtag:alfonsorueda,6.0,,,0.0,0.010953376366123035,0
hashtags,hashtag:algoritmos,7.0,,,0.0,0.004707689502956809,2
hashtags,hashtag:algoritmosdelodio,4.0,,,0.0,0.0011634869728085028,2
hashtags,hashtag:aliado,4.0,,,0.0,0.0025086547661400957,1
hashtags,hashtag:almachoescracho,27.0,,,0.0,0.02424007140822931,1
hashtags,hashtag:almansa,4.0,,,0.0,0.003868696770398222,1
hashtags,hashtag:alnatural,27.0,,,0.0,0.002883532546220714,12
hashtags,hashtag:alphamindset,10.0,,,0.0,1.0241792902588546e-05,4
hashtags,hashtag:alpinizm,7.0,,,0.0,0.0011392890311321712,33
hashtags,hashtag:altatecnologia,3.0,,,0.0,0.0011368941053589694,3
hashtags,hashtag:altoalaviolencia,5.0,,,0.0,0.004951142067993921,0
hashtags,hashtag:altoalgenocidio,22.0,,,0.0,0.011477096324740725,9
hashtags,hashtag:alumnamenor,7.0,,,0.0,0.001542372718650744,3
hashtags,hashtag:alwaysinstyle,4.0,,,0.0,9.194149084259978e-06,4
hashtags,hashtag:am,3.0,,,0.0,0.004842295849501396,0
hashtags,hashtag:amazon,15.0,,,0.0,0.004484388688257698,3
hashtags,hashtag:amba,2.0,,,0.0,0.0017690314369679053,0
hashtags,hashtag:ambato,14.0,,,0.0,0.010709509263431371,3
hashtags,hashtag:amberheard,20.0,,,0.0,0.01783984764913175,3
hashtags,hashtag:ambientelaboralhostil,6.0,,,0.0,0.001175889519740875,3
hashtags,hashtag:ambientessanosyseguros,8.0,,,0.0,0.004575771604647485,11
hashtags,hashtag:amea,4.0,,,0.0,0.0005966190010420985,2
hashtags,hashtag:amenaza,10.0,,,0.0,0.005194114009357946,3
hashtags,hashtag:amenazaglobal,11.0,,,0.0,0.003176527774198781,2
hashtags,hashtag:amenazas,43.0,,,0.00033415636677996307,0.03582017302016552,1
hashtags,hashtag:amiflash,3.0,,,0.0,0.0035551666085945925,0
hashtags,hashtag:amiflashnews,3.0,,,0.0,0.0035551666085945925,0
hashtags,hashtag:amor,5.0,,,0.0,0.002910162290486292,2
hashtags,hashtag:amorperruno,28.0,,,0.0,0.0027473949930018012,5
hashtags,hashtag:amorpropio,26.0,,,0.0,0.008831493342327261,6
hashtags,hashtag:amorsano,5.0,,,0.0,0.0035954013553251224,0
hashtags,hashtag:amucaavila,4.0,,,0.0,0.003842873560109108,0
hashtags,hashtag:an,23.0,,,0.00036033854438902825,0.013964415149721486,0
hashtags,hashtag:ana,3.0,,,0.0,0.004434233406982524,1
hashtags,hashtag:anafraz,3.0,,,0.0,0.0010781075075963651,30
hashtags,hashtag:anapimentel,4.0,,,0.0,0.0003558092680727395,2
hashtags,hashtag:andaluc,20.0,,,6.190507358653613e-05,0.013336488277408291,19
hashtags,hashtag:andreavaldiri,4.0,,,0.0,0.0061787268909554655,0
hashtags,hashtag:andrescalamaro,22.0,,,0.0,0.011477096324740725,9
hashtags,hashtag:andycarri,15.0,,,0.0,0.004484388688257698,3
hashtags,hashtag:angelinacastro,9.0,,,2.1225106602667698e-06,0.0035358925673086633,31
hashtags,hashtag:animales,22.0,,,0.0,0.011477096324740725,9
hashtags,hashtag:ankaainstitute,10.0,,,0.0,0.00504341480016506,1
hashtags,hashtag:anonimato,22.0,,,0.0,0.019225030845417674,0
hashtags,hashtag:ansiedad,28.0,,,0.00010316583458824993,0.01872935131704854,0
hashtags,hashtag:anticipodeherencia,29.0,,,0.0,0.0034580506874963193,9
hashtags,hashtag:antifraud,3.0,,,0.0,9.034437160675246e-06,4
hashtags,hashtag:antigonas,4.0,,,0.0,0.0003558092680727395,2
hashtags,hashtag:antipatriarcal,11.0,,,0.0,0.004952132662045436,2
hashtags,hashtag:antirracismo,10.0,,,3.3363265370752714e-08,0.015044683853517555,0
hashtags,hashtag:anuies,18.0,,,0.0,0.005061428113129431,15
hashtags,hashtag:anyapetshop,4.0,,,0.0,0.0015657909474011407,5
hashtags,hashtag:aonewstoday,17.0,,,0.00029610841021888225,0.010771905808209532,3
hashtags,hashtag:aporta,19.0,,,0.0,0.00012774710673392765,10
hashtags,hashtag:apoyoentreiguales,5.0,,,0.0,0.003766835388318257,0
hashtags,hashtag:apoyopsicologico,14.0,,,4.118542336748814e-05,0.011411584476557652,0
hashtags,hashtag:appinfoenn,7.0,,,0.0,0.007016480056670925,0
hashtags,hashtag:appleid,7.0,,,0.0,0.0031207940159346387,11
hashtags,hashtag:appsdecitas,8.0,,,0.0,0.0035899430805906058,2
hashtags,hashtag:appsin,4.0,,,0.0,0.0011634869728085028,2
hashtags,hashtag:aprendem,6.0,,,0.0,0.002106364629005759,3
hashtags,hashtag:aprender,28.0,,,0.0,0.01224195895264163,3
hashtags,hashtag:aprendizajeactivo,7.0,,,0.0,0.007608021409776561,25
hashtags,hashtag:aprendizajedigital,18.0,,,0.0,0.005061428113129431,15
hashtags,hashtag:arenasociol,4.0,,,0.0,0.0003558092680727395,2
hashtags,hashtag:arenaylaurisilva,11.0,,,0.0,0.0063468091763188884,2
hashtags,hashtag:arequipa,7.0,,,1.538767771215338e-05,0.0023483504992015632,3
